,n,n-gram,count
1,2,IN THE,2107
0,2,CHARLIE BROWN,1919
2,2,GOING TO,1547
3,2,DO YOU,1480
4,2,TO BE,1427
32,2,I CAN,1352
5,2,I DONT,1305
11,2,OF THE,1286
12,2,HAVE A,1272
6,2,THIS IS,1182
7,2,I THINK,1164
8,2,HAVE TO,1104
9,2,ON THE,1095
14,2,I HAVE,1091
17,2,IF YOU,1056
56,2,IN A,1026
76,2,IS A,995
87,2,PEANUTS I,946
10,2,ARE YOU,921
15,2,YOU KNOW,854
54,2,BE A,853
13,2,I CANT,816
33,2,IF I,808
34,2,YOU CAN,792
16,2,THE WORLD,771
73,2,AT THE,761
19,2,I WAS,760
28,2,ALL THE,746
30,2,YOU HAVE,691
64,2,BUT I,687
66,2,FOR A,679
20,2,YOU THINK,656
18,2,WANT TO,616
21,2,OUT OF,571
24,2,IT WAS,570
22,2,ALL RIGHT,559
52,2,FOR THE,559
39,2,TO DO,549
26,2,KNOW WHAT,527
25,2,DID YOU,525
23,2,A LITTLE,522
94,2,WAS A,506
37,2,TO GET,492
41,2,I KNOW,491
55,2,YOU DONT,488
42,2,WHAT DO,484
78,2,WHEN YOU,484
31,2,DONT KNOW,475
29,2,THE DOCTOR,461
27,2,KIND OF,454
48,2,LIKE TO,444
90,2,WITH A,439
79,2,DONT YOU,430
67,2,I JUST,428
43,2,A GOOD,425
35,2,IM NOT,421
50,2,HERES THE,417
36,2,IM GOING,407
57,2,TO SEE,398
45,2,I THOUGHT,386
59,2,YOU WANT,382
49,2,I GUESS,380
44,2,A LOT,371
47,2,I HATE,368
40,2,GOOD GRIEF,366
91,2,I COULD,361
75,2,YOU SHOULD,360
61,2,I DIDNT,358
46,2,HOW ABOUT,352
80,2,YOU WERE,346
58,2,YES MAAM,343
60,2,THANK YOU,333
53,2,SORT OF,326
95,2,I WANT,326
63,2,THE FIRST,324
65,2,WHAT ARE,318
62,2,AND THEN,317
74,2,THE BALL,314
88,2,ONE OF,314
99,2,IN MY,305
72,2,I AM,295
